Date,Open,High,Low,Close,Adj Close,Volume,Ticker
11/21/19,263.6900024,264.0100098,261.1799927,262.0100098,261.3896484,30348800,AAPL
11/22/19,262.5899963,263.1799927,260.8399963,261.7799988,261.1601868,16331300,AAPL
11/25/19,262.7099915,266.4400024,262.519989,266.3699951,265.7393188,21005100,AAPL
11/26/19,266.9400024,267.1600037,262.5,264.2900085,263.6642456,26301900,AAPL
11/27/19,265.5799866,267.980011,265.3099976,267.8399963,267.2058411,16308900,AAPL
11/29/19,266.6000061,268,265.8999939,267.25,266.6172485,11654400,AAPL
12/2/19,267.269989,268.25,263.4500122,264.1600037,263.5345459,23621800,AAPL
12/3/19,258.3099976,259.5299988,256.2900085,259.4500122,258.8357239,28607600,AAPL
12/4/19,261.0700073,263.3099976,260.6799927,261.7399902,261.1202698,16795400,AAPL
12/5/19,263.7900085,265.8900146,262.730011,265.5799866,264.9511719,18606100,AAPL
12/6/19,267.480011,271,267.2999878,270.7099915,270.0690308,26518900,AAPL
12/9/19,270,270.7999878,264.9100037,266.9200134,266.2880249,32010600,AAPL
12/10/19,268.6000061,270.0700073,265.8599854,268.480011,267.8443298,22605100,AAPL
12/11/19,268.8099976,271.1000061,268.5,270.769989,270.1289063,19689200,AAPL
12/12/19,267.7799988,272.5599976,267.3200073,271.4599915,270.8172607,34327600,AAPL
12/13/19,271.4599915,275.2999878,270.9299927,275.1499939,274.4985352,33396900,AAPL
12/16/19,277,280.7900085,276.980011,279.8599854,279.1973572,32046500,AAPL
12/17/19,279.5700073,281.769989,278.7999878,280.4100037,279.7460938,28539600,AAPL
12/18/19,279.7999878,281.8999939,279.1199951,279.7399902,279.0776672,29007100,AAPL
12/19/19,279.5,281.1799927,278.9500122,280.019989,279.3569946,24592300,AAPL
12/20/19,282.230011,282.6499939,278.5599976,279.4400024,278.7783813,68994500,AAPL
12/23/19,280.5299988,284.25,280.3699951,284,283.3275757,24643000,AAPL
12/24/19,284.6900024,284.8900146,282.9200134,284.269989,283.5969238,12119700,AAPL
12/26/19,284.8200073,289.980011,284.7000122,289.9100037,289.2236023,23280300,AAPL
12/27/19,291.1199951,293.9700012,288.1199951,289.7999878,289.1138306,36566500,AAPL
12/30/19,289.4599915,292.6900024,285.2200012,291.519989,290.8297729,36028600,AAPL
12/31/19,289.9299927,293.6799927,289.519989,293.6499939,292.9547119,25201400,AAPL
1/2/19,219.9100037,226.1699982,219,224.5700073,224.5700073,2784100,ADBE
1/3/19,220.8800049,223.6300049,215.1499939,215.6999969,215.6999969,3663500,ADBE
1/4/19,219.8399963,227.6499939,217.4799957,226.1900024,226.1900024,4043400,ADBE
1/7/19,229.9499969,232.6000061,227.2899933,229.2599945,229.2599945,3638500,ADBE
1/8/19,232.6499939,233.7700043,228.3300018,232.6799927,232.6799927,3685900,ADBE
1/9/19,234.0099945,238.5899963,232,235.4299927,235.4299927,3594200,ADBE
1/10/19,233.7700043,238.0399933,231.7100067,237.7700043,237.7700043,2704600,ADBE
1/11/19,235.7100067,239.3200073,235.2299957,237.5500031,237.5500031,3179500,ADBE
1/14/19,235.3300018,236.2599945,231.9600067,234.5599976,234.5599976,2606800,ADBE
1/15/19,237.8999939,243.9299927,237.2599945,242.3600006,242.3600006,3656500,ADBE
1/16/19,243.6000061,244,239.6799927,241.9499969,241.9499969,2885200,ADBE
1/17/19,240.1300049,245.0399933,238.7799988,244.3999939,244.3999939,2836200,ADBE
1/18/19,247.4499969,250.6799927,244.4499969,247.5099945,247.5099945,3711300,ADBE
1/22/19,245.1300049,245.6100006,241.1900024,243.8500061,243.8500061,4155500,ADBE
1/23/19,244.9100037,248.1600037,240.6000061,245.1399994,245.1399994,2031400,ADBE
1/24/19,245.6199951,245.9799957,241.1799927,242.5599976,242.5599976,3643000,ADBE
1/25/19,244.9900055,247.1000061,243.4299927,244.9499969,244.9499969,3822300,ADBE
1/28/19,241,243.2200012,239.3500061,241.8500061,241.8500061,2110400,ADBE
1/29/19,241.8099976,242.8699951,237.2700043,238.2700043,238.2700043,1937100,ADBE
1/30/19,240.1600037,243,238.8699951,242.6699982,242.6699982,2482900,ADBE
1/31/19,243,249,243,247.8200073,247.8200073,5007200,ADBE
2/1/19,247.8200073,251.0399933,246.1000061,247.3800049,247.3800049,3033300,ADBE
2/4/19,248.5599976,256.9899902,248.0599976,254.7400055,254.7400055,3705100,ADBE
2/5/19,256.7399902,258.5599976,254.0099945,254.8200073,254.8200073,3042000,ADBE
2/6/19,255.0599976,255.9299927,250.7100067,254.3500061,254.3500061,2539100,ADBE
2/7/19,251.3300018,254.3099976,250.2799988,253.7400055,253.7400055,2099300,ADBE
2/8/19,251.3899994,257.0499878,250.6399994,257,257,2756800,ADBE
